name_en,name_fa,latitude,longitude
Palkaneh,,33.7676,46.2084
Sar Zal,,,
Bala Dashteh,,33.807,47.04323
Warber,,,
Kalatah,,,
Kahreh,,33.737778,47.037222
Mela Har,,,
Zaher Vand Sofla,,,
Mahdiyeh,,,
Zir Khaki,,33.69,47.062222
Towhid,,33.725556,47.068611
Shiravand,,33.300278,47.406944
Dar Parusheh,,33.71,47.090833
Cham Deylavand-e Olya,,33.698333,47.126667
Darb-e Gonbad,,33.689444,47.151389
Darnameh,,,
Gvmleh,,,
Kuchekeh Shiravand,,33.712778,47.177222
Sar Chme,,,
Chme Sangar,,,
Cham Qaleh,,33.731111,47.288056
Cheshmeh Mahi,,33.730833,47.139722
